mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09106359481811524,0.008945773565966023,0.024624204635620116,0.007076300503975527,10,7,5,"{'max_depth': 10, 'max_features': 7, 'n_estimators': 5}",0.6317460317460317,0.6652910052910053,0.6420359531772576,0.6913670568561873,0.7705894648829432,0.680205902390685,0.04964175254589817,104
0.12028698921203614,0.015045376992825902,0.02416520118713379,0.008574463431711386,10,7,10,"{'max_depth': 10, 'max_features': 7, 'n_estimators': 10}",0.7494179894179894,0.7042328042328041,0.6951295986622075,0.7012959866220736,0.7379807692307693,0.7176114296331688,0.021804500742031212,68
0.32256040573120115,0.0348523521540692,0.026710653305053712,0.009283945236389294,10,7,25,"{'max_depth': 10, 'max_features': 7, 'n_estimators': 25}",0.7458201058201058,0.6797883597883598,0.7433110367892977,0.7395484949832776,0.7366220735785953,0.7290180141919272,0.024814803628472694,49
0.636859130859375,0.1290457939997703,0.04091024398803711,0.015099414785310029,10,7,50,"{'max_depth': 10, 'max_features': 7, 'n_estimators': 50}",0.7726984126984127,0.6859259259259259,0.7435200668896321,0.7451923076923077,0.7575250836120401,0.7409723593636638,0.029444672699799935,11
1.7460416793823241,0.07576205033263521,0.08234181404113769,0.029976575697804982,10,7,150,"{'max_depth': 10, 'max_features': 7, 'n_estimators': 150}",0.7748148148148147,0.6867724867724867,0.7422658862876255,0.7577341137123745,0.7575250836120402,0.7438224770398684,0.030328021454800583,5
0.08536067008972167,0.006474146110823902,0.022739744186401366,0.005562850597187151,10,15,3,"{'max_depth': 10, 'max_features': 15, 'n_estimators': 3}",0.6286772486772487,0.6241269841269841,0.6381688963210702,0.6681647157190636,0.6617892976588629,0.6441854285006459,0.01768584697681719,116
0.08944826126098633,0.006256662908192144,0.028939151763916017,0.017364138477263907,10,15,5,"{'max_depth': 10, 'max_features': 15, 'n_estimators': 5}",0.7101587301587302,0.6467724867724868,0.6691053511705686,0.678616220735786,0.6532190635451505,0.6715743704765444,0.022344964763035206,108
0.14518270492553711,0.005564398822523853,0.01853146553039551,0.004603513084063661,10,15,10,"{'max_depth': 10, 'max_features': 15, 'n_estimators': 10}",0.7297354497354497,0.6837037037037037,0.7054765886287626,0.7069397993311037,0.7174958193979933,0.7086702721594026,0.015219432850980057,79
0.3236280918121338,0.018572564196678753,0.018520402908325195,0.0015154041937055674,10,15,25,"{'max_depth': 10, 'max_features': 15, 'n_estimators': 25}",0.7496296296296296,0.6968253968253969,0.7177048494983278,0.7326505016722408,0.7497909698996655,0.729320269505052,0.020166530995700763,47
0.8717268466949463,0.04951225424908874,0.04098978042602539,0.029950991769268333,10,15,50,"{'max_depth': 10, 'max_features': 15, 'n_estimators': 50}",0.7568253968253967,0.6782010582010582,0.7283653846153847,0.7311872909698997,0.7596153846153847,0.7308389030454248,0.029258729049471837,43
2.529507541656494,0.29388769026487144,0.07413263320922851,0.02690735541624544,10,15,150,"{'max_depth': 10, 'max_features': 15, 'n_estimators': 150}",0.7724867724867724,0.6778835978835979,0.7368311036789297,0.7451923076923077,0.7587792642140468,0.7382346091911309,0.03252050892110994,19
0.0824852466583252,0.03268279919620041,0.043457984924316406,0.029914797725395226,10,20,3,"{'max_depth': 10, 'max_features': 20, 'n_estimators': 3}",0.6941798941798942,0.6378835978835978,0.692203177257525,0.642767558528428,0.7516722408026756,0.6837412937304241,0.04141728302794922,98
0.16527252197265624,0.02223925871434266,0.01996474266052246,0.005277473557914265,10,20,5,"{'max_depth': 10, 'max_features': 20, 'n_estimators': 5}",0.6925925925925926,0.6503703703703704,0.709866220735786,0.6731814381270904,0.7433110367892977,0.6938643317230274,0.03169277891239742,92
0.4309690475463867,0.2521512733863067,0.06918997764587402,0.08985639347264547,10,20,10,"{'max_depth': 10, 'max_features': 20, 'n_estimators': 10}",0.7074074074074074,0.659047619047619,0.7119565217391305,0.6970108695652173,0.7508361204013378,0.7052517076321424,0.029428793638932943,84
0.45905141830444335,0.10920062149342867,0.02983856201171875,0.009392935722423707,10,20,25,"{'max_depth': 10, 'max_features': 20, 'n_estimators': 25}",0.74,0.6884656084656084,0.7264841137123746,0.71686872909699,0.7733068561872909,0.7290250614924527,0.02785903329050414,48
0.8164628505706787,0.050401060316238554,0.031511974334716794,0.011477596747610631,10,20,50,"{'max_depth': 10, 'max_features': 20, 'n_estimators': 50}",0.7680423280423281,0.6923809523809523,0.717391304347826,0.7328595317725753,0.7474916387959866,0.7316331510679336,0.025776691449321397,36
2.180290126800537,0.3074627990565886,0.06310300827026367,0.01484392570629027,10,20,150,"{'max_depth': 10, 'max_features': 20, 'n_estimators': 150}",0.7549206349206349,0.6861375661375662,0.7284698996655518,0.7506270903010034,0.7516722408026756,0.7343654863654864,0.025873414447560247,29
0.1007986068725586,0.07790730473246134,0.0173281192779541,0.011607419460005876,,4,3,"{'max_depth': None, 'max_features': 4, 'n_estimators': 3}",0.6024338624338624,0.586031746031746,0.642767558528428,0.5556020066889631,0.6407817725752508,0.6055233892516501,0.033202094837679344,120
